Test Group,Rack,host  IP,idrac ip,Model,Service tag,Hostname,sys_gen,Form,Slot,bios version,cpu_name,cpu family,memory,backplane,boss card info,perc info,perc version
ESS-DR,B12,,10.148.83.236,R7725,9ZFM794,MINWINPC,17G,,32,1.2.4,AMD EPYC 9255,Turin,DDR5 DIMM,1.77,BOSS-N1 DC-MHS,,
,B12,,10.148.83.247,R750,3N4NWP3,MINWINPC,15G,,24,1.6.5,Intel Xeon Gold 6330,Ice Lake,DDR4 DIMM,3.57,,PERC H755 Front,
,B12,,10.148.83.251,R6525,9576MH3,CVE-DELL-16-9,15G,,10,2.5.6,AMD EPYC 7302,Rome,DDR4 DIMM,3.57,,PERC H345 Front,
ESS-DR,B13,,10.148.20.236,R7615,8W54X04,8w54x04-PowerEdge-7615,16G,,8,1.12.4,AMD EPYC 9224,Genoa,DDR5 DIMM,1.75,BOSS-N1 Monolithic,,
ESS-DR,B13,,10.148.20.237,R760,9P8DH04,,16G,,16,2.6.3,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,1.75,BOSS-N1 Monolithic,,
ESS-DR,B13,,10.148.20.235,R6625,508M794,,16G,,10,1.12.4,AMD EPYC 9124,Genoa,DDR5 DIMM,7.1,BOSS-N1 Monolithic,,
,B13,,10.148.20.210,MX760C,77XL7Y3,MINWINPC,16G,,4,2.6.3,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,7.1,,PERC S160 Controller/PERC H965i MX,8.8.0.0.18-26
ESS-DR,B13,,10.148.20.228,R7725,8ZFM794,WIN-9DDH3IKJAVG,17G,,24,1.1.3,AMD EPYC 9115,Turin,DDR5 DIMM,1.72,BOSS-N1 DC-MHS,PERC H965i Adapter,2.2.13.2033
,B13,,10.148.20.230,C6525,4J2PKD3,WIN-JGL0804DBD3,15G,,6,2.5.6,AMD EPYC 7262,Rome,DDR4 DIMM,0.3d.67,BOSS-S1,,
,B13,,10.148.20.232,C6525,4J1TKD3,localhost.localdomain,15G,,6,2.6.7,AMD EPYC 7262,Rome,DDR4 DIMM,4.36,BOSS-S1,PERC H745 Adapter,2.6.13.3024
,B13,,10.148.20.231,C6525,4J2NKD3,localhost.localdomain,15G,,6,2.5.6,AMD EPYC 7262,Rome,DDR4 DIMM,4.36,BOSS-S1,,
,B13,,10.148.20.229,C6525,4J2NTD3,,15G,,6,2.5.6,AMD EPYC 7262,Rome,DDR4 DIMM,4.36,BOSS-S1,PERC H345 Adapter,2.6.13.3024
,B13,,10.148.20.240,R750,DXDRKD3,MININT-UD6GJCE,15G,,16,1.12.1,Intel Xeon Gold 6330,Ice Lake,DDR4 DIMM,7.1,BOSS-S2,PERC H755 Front,2.5.13.4009
,B13,,10.148.20.233,R650,3V70VD3,WIN-7KH0IKON85D,15G,,10,1.4.4,Intel Xeon Gold 6330,Ice Lake,DDR4 DIMM,3.57,BOSS-S2,PERC H745 Front,2.5.13.4008
,B13,,10.148.20.234,R750XS,B0DR5K3,,15G,,8,1.3.8,Intel Xeon Silver 4316,Ice Lake,DDR4 DIMM,3.56,BOSS-S2,PERC H755 Front,2.5.13.4008
,B13,,10.148.20.236,R750XS,9Z8CMH3,MINWINPC,15G,,16,1.5.4,Intel Xeon Silver 4310,Ice Lake,DDR4 DIMM,3.57,BOSS-S2,PERC H345 Front,2.5.13.4008
,B13,,10.148.20.238,R650XS,1G4HMH3,,15G,,10,1.2.1,Intel Xeon Silver 4314,Ice Lake,DDR4 DIMM,3.48,BOSS-S1,PERC H755 Front,2.6.13.3024
,B13,,10.148.20.235,R750XS,JNDC5K3,,15G,,8,1.3.8,Intel Xeon Silver 4316,Ice Lake,DDR4 DIMM,3.56,BOSS-S2,,
,B13,,10.148.20.239,R650XS,CY8K2G3,,15G,,12,1.2.1,Intel Xeon Gold 6330,Ice Lake,DDR4 DIMM,3.48,BOSS-S1,PERC H345 Front,2.6.13.3024
,B13,,10.148.20.241,R750,8XL0FF3,,15G,,8,1.2.4,Intel Xeon Gold 6338,Ice Lake,DDR4 DIMM,3.56,BOSS-S2,PERC H345 Front,2.5.13.4008
,B13,,10.148.20.251,XE2420,7D7MKD3,localhost.localdomain,14G,,4,2.15.0,Intel Xeon Bronze 3204,Cascade Lake,DDR4 DIMM,4.91,BOSS-S1,PERC H740P Adapter,2.6.13.3024
,B13,,10.148.20.246,R6525,3QY8NF3,cve-dell-15-6,15G,,10,2.5.6,AMD EPYC 7402,Rome,DDR4 DIMM,3.57,BOSS-S1,PERC H345 Front,2.5.13.3024
,B13,,10.148.20.245,R6525,D73FFF3,WIN-PV3A70J01JN,15G,,10,2.12.4,AMD EPYC 7402,Rome,DDR4 DIMM,7.1,BOSS-S1,PERC H745 Front,2.5.13.3024
,B13,,10.148.20.243,R6515,6VNQNF3,,15G,,10,2.2.4,AMD EPYC 7262,Rome,DDR4 DIMM,4.35,BOSS-S1,PERC H740P Mini,2.5.13.3024
,B13,,10.148.20.247,R7515,GRGVPR3,WIN-HI99MHCOSU5,15G,,24,2.8.4,AMD EPYC 7262,Rome,DDR4 DIMM,4.35,BOSS-S1,PERC H740P Mini,2.5.13.3024
,B13,,10.148.20.252,XE7440,5QQ3MH3,WIN-9AOHKSF0KMM,14G,,104,2.15.1,Intel Xeon Silver 4208,Cascade Lake,DDR4 DIMM,2.7,,PERC H745 Adapter/PERC H730P Mini/PERC H745 Adapter,51.16.0-4076
